name,online_order,book_table,rate,votes,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city)
Starbucks,Yes,,3.3/5,7287,Bellandur,Cafe,"Mughlai, North Indian",,Dine-out,Indiranagar
Donne Biryani,No,Yes,4.5/5,3015,Koramangala  ,Delivery,Street Food,900,Dine-out,BTM Layout
Palace Punjab Grill,Yes,,3.0/5,6674,Koramangala,Cafe,"Seafood, Continental",400,Dine-out,HSR Layout
Brahmin Coffee Bar,No,No,2.8/5,6078,Basavanagudi,,Biryani,2500,Delivery,HSR Layout
House Box8,No,No,2.6/5,5047,RT Nagar,Food Court,"Biryani, North Indian",2000,Desserts,Whitefield
Hotel Donne Biryani,No,No,,5188,Hebbal  ,Sweet Shop,"Cafe, Beverages",200,Lunch,Marathahalli
Cafe Chinese Hut,Yes,,4.7/5,1725,Marathahalli,Casual Dining,"Seafood, Continental",900,Lunch,Electronic City
Freshmenu,No,,3.2/5,1453,Whitefield,"Pub, Bar","Continental, North Indian",,Lunch,HSR Layout
Dhaba Beijing Bites,Yes,Yes,2.6/5,5068,Whitefield,,Biryani,150,Delivery,Jayanagar
Shivaji Military Hotel,Yes,,4.5/5,405,Richmond Town,Mess,"South Indian, Chinese",250,Drinks & nightlife,Koramangala
Biryani Koshy's,No,Yes,3.7/5,5420,RT Nagar  ,Bakery,"North Indian, Chinese",,Desserts,Whitefield
The Burger Lab,Yes,No,2.9/5,968,JP Nagar,Quick Bites,"South Indian, Chinese",700,Cafes,BTM Layout
McDonald's,Yes,Yes,4.0/5,1742,Basavanagudi,Delivery,Street Food,250,Drinks & nightlife,Electronic City
McDonald's,No,Yes,NEW,2956,Marathahalli,"Pub, Bar",Chinese,600,Desserts,Koramangala
Cafe The Burger Lab,No,Yes,2.6/5,1,Bellandur,Cafe,"Bakery, Cafe",2500,Cafes,Whitefield
Cafe Freshmenu,Yes,Yes,3.3/5,277,Basavanagudi,"Casual Dining, Cafe","Seafood, Continental",150,Dine-out,JP Nagar
Corner House,Yes,Yes,3.5/5,7373,MG Road  ,Delivery,"Biryani, North Indian",2000,Drinks & nightlife,BTM Layout
Punjab Grill,No,No,3.7/5,3111,MG Road  ,Cafe,Chinese,900,Dine-out,Indiranagar
Box8,No,Yes,2.9/5,6869,Richmond Town,Food Court,North Indian,150,Drinks & nightlife,Indiranagar
Chai Point,No,Yes,3.9/5,1125,Hebbal,"Pub, Bar","Desserts, Bakery",450,Lunch,Jayanagar
The Truffles,Yes,No,2.6/5,7595,Church Street,Bar,"Italian, Pizza",400,Drinks & nightlife,JP Nagar
Vidyarthi Bhavan,Yes,,4.6/5,4579,Richmond Town,Cafe,"South Indian, Chinese",1000,Desserts,Whitefield
KFC,Yes,,2.8/5,4036,Whitefield  ,Bakery,"South Indian, Chinese",1500,Desserts,Marathahalli
Punjabi Tadka,No,No,-,6396,Koramangala,Beverage Shop,"North Indian, Chinese",800,Delivery,Electronic City
Kamat Upachar,Yes,Yes,4.1/5,6259,Banashankari,Food Court,Street Food,150,Buffet,JP Nagar
Palace Punjab Grill,No,Yes,NEW,6235,Richmond Town,Cafe,"Biryani, North Indian",700,Cafes,HSR Layout
Koshy's,No,,3.7/5,1692,Yelahanka,Delivery,North Indian,350,Drinks & nightlife,Jayanagar
Punjab Grill,No,No,3.0/5,128,Church Street,,"Pizza, Fast Food",600,Buffet,BTM Layout
Biryani Beijing Bites,No,No,4.8/5,3888,Frazer Town,Mess,"South Indian, North Indian",1500,Buffet,Banashankari
Starbucks,Yes,Yes,3.5/5,6976,Richmond Town,Desserts,Biryani,450,Desserts,HSR Layout
Spice Garden,No,Yes,3.7/5,7657,RT Nagar,,"Seafood, Continental",,Desserts,Marathahalli
Udupi Palace,Yes,No,NEW,4521,MG Road  ,Bar,"Biryani, North Indian",900,Lunch,Whitefield
MTR,Yes,No,2.6/5,2241,Richmond Town,Beverage Shop,"Continental, North Indian",350,Delivery,HSR Layout
Amul,Yes,No,2.9/5,1863,Koramangala,Sweet Shop,"Biryani, North Indian",150,Desserts,HSR Layout
Barbeque Nation,No,,4.6/5,72,Yelahanka,Delivery,"Continental, North Indian",200,Buffet,JP Nagar
Cafe Natural Ice Cream,No,Yes,3.8/5,7843,Electronic City,"Pub, Bar","North Indian, Chinese",600,Drinks & nightlife,Marathahalli
KFC,Yes,No,4.0/5,7002,Church Street,Quick Bites,Fast Food,,Delivery,JP Nagar
Udupi Palace,Yes,No,4.5/5,3804,Frazer Town,Desserts,"Sandwich, Fast Food",450,Lunch,Indiranagar
Kitchen Truffles,Yes,No,-,3602,Domlur,Fine Dining,"Sandwich, Fast Food",2500,Lunch,Whitefield
House Koshy's,Yes,Yes,3.1/5,6150,Frazer Town,Bar,"Desserts, Bakery",200,Drinks & nightlife,Banashankari
House Tasty Bites,No,Yes,4.8/5,4732,HSR Layout,Quick Bites,,2000,Drinks & nightlife,Jayanagar
Vidyarthi Bhavan,No,Yes,3.1/5,6887,HSR Layout,Bakery,Street Food,350,Cafes,Banashankari
Biryani Spice Garden,No,No,4.7/5,2959,Marathahalli,Cafe,"North Indian, Chinese",500,Lunch,JP Nagar
India Gate,Yes,No,4.5/5,1989,Koramangala,"Pub, Bar","South Indian, North Indian",200,Drinks & nightlife,HSR Layout
Barbeque Nation,No,,4.4/5,1809,Sarjapur Road,Delivery,"North Indian, Chinese",350,Cafes,Koramangala
Haveli,No,No,3.5/5,939,Banashankari,Food Court,"Sandwich, Fast Food","2,500",Drinks & nightlife,Indiranagar
Biryani Hotel Pai Vista,Yes,,4.8/5,6295,Indiranagar,Casual Dining,"Seafood, Continental",700,Dine-out,Jayanagar
Wrap It Up,No,Yes,4.4/5,3401,Hebbal,Sweet Shop,"Sandwich, Fast Food",450,Cafes,Marathahalli
Restaurant Dominos,Yes,No,4.3/5,3860,Vijayanagar,Casual Dining,"Biryani, North Indian",350,Cafes,Banashankari
Dhaba Vidyarthi Bhavan,No,Yes,4.9/5,4026,Yelahanka,Casual Dining,South Indian,600,Delivery,Electronic City
Cafe Wrap It Up,No,Yes,2.7/5,1316,Koramangala,Fine Dining,Biryani,150,Dine-out,Koramangala
Chinese Hut,No,No,NEW,5455,Sarjapur Road,Sweet Shop,"Desserts, Bakery",,Lunch,Indiranagar
Hotel Pai Vista,No,No,4.6/5,1312,Vijayanagar  ,Mess,"Desserts, Bakery",900,Dine-out,Koramangala
India Gate,No,No,3.6/5,5010,JP Nagar,Delivery,"Biryani, North Indian",350,Drinks & nightlife,Jayanagar
Natural Ice Cream,No,Yes,4.4/5,6791,Sarjapur Road,Bar,"Pizza, Fast Food",150,Buffet,Koramangala
Corner Chai Point,Yes,No,3.9/5,3676,Electronic City,"Pub, Bar","Ice Cream, Desserts",400,Dine-out,Banashankari
Restaurant Empire Restaurant,Yes,Yes,4.7/5,5139,Basavanagudi  ,"Casual Dining, Cafe",,800,Lunch,Banashankari
Kanti Sweets,Yes,No,,4611,Rajajinagar  ,Quick Bites,"Pizza, Fast Food",900,Buffet,Jayanagar
India Gate,Yes,Yes,4.6/5,1560,Malleshwaram,Bar,"South Indian, North Indian",350,Delivery,Whitefield
Dhaba Faasos,Yes,No,2.7/5,6732,Koramangala,Bakery,"Bakery, Cafe",300,Buffet,Indiranagar
Wrap It Up,No,,2.9/5,7010,HSR Layout,Beverage Shop,"North Indian, Chinese",900,Lunch,Electronic City
Eat Street,No,No,-,2212,Banashankari,Casual Dining,Street Food,1200,Cafes,BTM Layout
Cafe Donne Biryani,No,No,4.4/5,6099,Basavanagudi,Fine Dining,"Cafe, Beverages",400,Lunch,JP Nagar
Cafe Hotel Pai Vista,Yes,Yes,2.9/5,2852,JP Nagar  ,Desserts,North Indian,"1,200",Delivery,Electronic City
Vasudev Adiga,Yes,No,2.7/5,5178,RT Nagar,Cafe,"Biryani, North Indian",2000,Buffet,Jayanagar
Biryani Zone,Yes,,3.8/5,1198,Richmond Town,"Pub, Bar",Biryani,800,Buffet,BTM Layout
Amul,Yes,No,2.5/5,2054,Domlur  ,Bakery,"South Indian, Chinese",1500,Cafes,Marathahalli
Starbucks,No,,3.2/5,1596,Sarjapur Road,Food Court,Street Food,700,Lunch,Indiranagar
Natural Ice Cream,Yes,Yes,3.5/5,5472,Hebbal,Bakery,Chinese,400,Buffet,Electronic City
The Punjabi Tadka,Yes,Yes,3.3/5,6635,Electronic City,Delivery,"South Indian, Chinese",2000,Drinks & nightlife,Whitefield
Udupi Palace,Yes,,4.3/5,3249,Indiranagar,Casual Dining,"Seafood, Continental",300,Dine-out,Marathahalli
Box8,Yes,Yes,2.8/5,6971,MG Road  ,Delivery,"Mughlai, North Indian",2500,Drinks & nightlife,Marathahalli
Biryani Zone,No,No,3.5/5,1494,Sarjapur Road,Fine Dining,"Ice Cream, Desserts",800,Dine-out,JP Nagar
Tasty Bites,Yes,No,3.4/5,2889,Whitefield,,Biryani,350,Desserts,Whitefield
Haveli,No,Yes,NEW,5543,Vijayanagar,Bakery,"Pizza, Fast Food",2000,Desserts,Banashankari
Tasty Bites,Yes,Yes,3.6/5,7633,JP Nagar  ,"Casual Dining, Cafe","South Indian, North Indian","1,200",Drinks & nightlife,JP Nagar
Empire Restaurant,Yes,Yes,4.0/5,302,Basavanagudi  ,Delivery,"North Indian, Chinese",2500,Drinks & nightlife,Koramangala
Dhaba Truffles,No,Yes,3.3/5,7294,Church Street,"Pub, Bar","Ice Cream, Desserts",500,Buffet,Indiranagar
Vidyarthi Bhavan,No,No,3.0/5,4752,Basavanagudi,Cafe,"Bakery, Cafe",350,Lunch,Jayanagar
Shivaji Military Hotel,No,No,2.9/5,6825,RT Nagar,Casual Dining,Chinese,,Desserts,Whitefield
Restaurant Dominos,No,Yes,3.4/5,28,HSR Layout,Sweet Shop,"South Indian, Chinese",600,Cafes,HSR Layout
Vasudev Adiga,No,No,4.7/5,2084,Indiranagar,Bakery,"North Indian, Chinese",800,Lunch,Koramangala
Spice Garden,No,,2.7/5,885,Yelahanka,Quick Bites,,450,Lunch,Marathahalli
Faasos,Yes,Yes,3.0/5,3683,Vijayanagar,,"Mughlai, North Indian",800,Buffet,Electronic City
Kitchen KFC,Yes,No,4.2/5,5721,Sarjapur Road,Beverage Shop,Biryani,250,Lunch,Whitefield
Shivaji Military Hotel,No,No,2.8/5,3124,Indiranagar  ,,"Bakery, Cafe","1,200",Cafes,HSR Layout
Palace Starbucks,No,Yes,2.7/5,7906,Jayanagar,Quick Bites,"Continental, North Indian",,Dine-out,Marathahalli
MTR,No,No,2.5/5,886,Vijayanagar,Food Court,Chinese,350,Delivery,Indiranagar
Empire Restaurant,No,Yes,2.8/5,3654,JP Nagar,Sweet Shop,"Sandwich, Fast Food",900,Desserts,Whitefield
Udupi Palace,Yes,Yes,4.3/5,3828,Indiranagar,Desserts,"Pizza, Fast Food",450,Desserts,Koramangala
Dragon Palace,No,No,2.9/5,3868,Frazer Town  ,Sweet Shop,"Pizza, Fast Food",,Buffet,JP Nagar
Haveli,Yes,No,4.7/5,1245,HSR Layout,Desserts,"Cafe, Beverages",400,Drinks & nightlife,HSR Layout
India Gate,Yes,No,3.4/5,1249,Church Street  ,"Casual Dining, Cafe",Chinese,150,Delivery,BTM Layout
Haveli,No,Yes,4.2/5,4884,Indiranagar,Casual Dining,"South Indian, Chinese",2500,Buffet,JP Nagar
Punjabi Tadka,No,No,2.6/5,5962,Majestic,"Pub, Bar",North Indian,350,Delivery,Marathahalli
House MTR,Yes,Yes,3.8/5,7117,Yelahanka,Quick Bites,"Ice Cream, Desserts",250,Cafes,HSR Layout
Shivaji Military Hotel,Yes,Yes,3.1/5,5189,Malleshwaram,Beverage Shop,"Biryani, North Indian",150,Dine-out,Marathahalli
Meghana Foods,No,No,2.7/5,7771,BTM Layout,"Casual Dining, Cafe",Fast Food,700,Lunch,Electronic City
Biryani Kamat Upachar,No,No,2.8/5,4551,Vijayanagar,Beverage Shop,"Continental, North Indian",400,Delivery,HSR Layout
Dhaba Donne Biryani,Yes,Yes,2.6/5,6104,Vijayanagar,"Casual Dining, Cafe",Fast Food,"1,500",Lunch,Marathahalli
Freshmenu,Yes,No,4.1/5,1232,Electronic City,Casual Dining,Chinese,800,Buffet,Indiranagar
Kamat Upachar,Yes,No,2.8/5,2823,Rajajinagar,"Pub, Bar","Ice Cream, Desserts",300,Buffet,Koramangala
Freshmenu,Yes,No,4.2/5,6891,RT Nagar,Quick Bites,North Indian,800,Desserts,Marathahalli
Meghana Foods,No,Yes,4.7/5,458,Bellandur,Bar,"Ice Cream, Desserts",200,Cafes,Marathahalli
Hotel Kamat Upachar,Yes,No,4.3/5,902,Jayanagar,Bar,"North Indian, Chinese",350,Delivery,Indiranagar
Biryani Satkar,Yes,Yes,,2030,HSR Layout,"Casual Dining, Cafe","Pizza, Fast Food",1500,Buffet,Koramangala
Biryani Udupi Palace,Yes,No,3.9/5,1624,Marathahalli,Bakery,"Seafood, Continental",2000,Lunch,Whitefield
Vasudev Adiga,No,Yes,NEW,3415,Church Street,Food Court,Street Food,1500,Buffet,Banashankari
Barbeque Nation,No,No,3.0/5,7030,Rajajinagar,Sweet Shop,"Mughlai, North Indian",400,Buffet,JP Nagar
Dominos,No,Yes,2.9/5,2737,Yelahanka,Delivery,"Ice Cream, Desserts",400,Buffet,Koramangala
Cafe Cafe Coffee Day,No,Yes,3.8/5,7998,Jayanagar,Cafe,Street Food,450,Drinks & nightlife,Electronic City
Amul,No,Yes,2.9/5,1040,Marathahalli  ,Desserts,"Mughlai, North Indian",2500,Delivery,Whitefield
Cafe Koshy's,No,No,3.4/5,2334,Church Street,Bakery,,1000,Buffet,Whitefield
Biryani Biryani Zone,Yes,Yes,2.7/5,749,Banashankari,Food Court,"Seafood, Continental",1000,Lunch,Jayanagar
Kitchen Koshy's,No,Yes,2.7/5,53,HSR Layout,Mess,"Biryani, North Indian",2500,Delivery,HSR Layout
Biryani Zone,Yes,,4.0/5,2012,Hebbal,Bakery,"Bakery, Cafe",150,Dine-out,Koramangala
McDonald's,No,Yes,2.9/5,6944,Banashankari,Desserts,Biryani,2000,Lunch,Whitefield
New Taj Mahal Cafe,Yes,No,-,6894,Rajajinagar,Bar,"Pizza, Fast Food",700,Lunch,JP Nagar
Hotel Brahmin Coffee Bar,No,,4.2/5,1355,Church Street,"Pub, Bar",Biryani,2500,Lunch,Koramangala
Hotel Vidyarthi Bhavan,Yes,Yes,3.3/5,3093,Malleshwaram  ,,"Biryani, North Indian",300,Delivery,BTM Layout
Freshmenu,No,No,4.7/5,7518,Basavanagudi,Cafe,"Desserts, Bakery",250,Lunch,Jayanagar
Punjabi Tadka,Yes,No,4.2/5,4097,Church Street,Cafe,"Bakery, Cafe",,Lunch,HSR Layout
Restaurant Faasos,No,Yes,3.2/5,2532,Richmond Town,Fine Dining,South Indian,200,Cafes,Koramangala
Kamat Upachar,Yes,Yes,4.5/5,7014,Whitefield,Desserts,"Biryani, North Indian","2,500",Delivery,Whitefield
Shivaji Military Hotel,Yes,No,2.9/5,6106,Koramangala,Mess,"Desserts, Bakery","1,000",Desserts,JP Nagar
Eat Street,No,Yes,4.2/5,6508,Banashankari,Delivery,"Continental, North Indian",300,Lunch,Marathahalli
KFC,No,No,4.5/5,2147,Basavanagudi,Fine Dining,Biryani,250,Drinks & nightlife,Koramangala
Natural Ice Cream,No,No,4.8/5,3635,Vijayanagar  ,Cafe,"Sandwich, Fast Food",,Buffet,JP Nagar
Haveli,Yes,Yes,2.6/5,7629,Sarjapur Road  ,Desserts,Street Food,1000,Cafes,BTM Layout
Satkar,No,No,2.7/5,1927,Rajajinagar  ,"Pub, Bar","Bakery, Cafe",500,Dine-out,Jayanagar
Cafe Kamat Upachar,Yes,No,4.4/5,7693,Koramangala,Desserts,"Bakery, Cafe",350,Desserts,Electronic City
Empire Restaurant,No,No,2.7/5,4044,Frazer Town,Cafe,"Bakery, Cafe",,Lunch,Banashankari
Palace Koshy's,Yes,No,4.6/5,3930,Indiranagar,Bakery,"Pizza, Fast Food",500,Buffet,HSR Layout
Natural Ice Cream,No,,4.8/5,849,Rajajinagar,Casual Dining,"South Indian, North Indian",350,Lunch,Electronic City
Hotel Dominos,No,Yes,3.0/5,2428,Richmond Town,Delivery,"Seafood, Continental",900,Desserts,Marathahalli
Corner Starbucks,Yes,,-,1567,Vijayanagar,Mess,"Mughlai, North Indian",2000,Delivery,Electronic City
Cafe New Taj Mahal Cafe,Yes,Yes,NEW,5370,Yelahanka,Fine Dining,Fast Food,900,Desserts,Jayanagar
Empire Restaurant,No,No,3.5/5,488,Yelahanka,Bakery,Chinese,200,Buffet,Whitefield
Box8,Yes,No,NEW,1667,Domlur,Mess,"Italian, Pizza",800,Drinks & nightlife,BTM Layout
Faasos,Yes,Yes,3.4/5,1241,BTM Layout,Fine Dining,"Desserts, Bakery",2500,Delivery,Whitefield
Dominos,Yes,Yes,4.6/5,6471,Church Street,Quick Bites,"North Indian, Chinese",1200,Dine-out,BTM Layout
Dhaba Udupi Palace,Yes,No,4.0/5,7809,Frazer Town,Mess,"South Indian, Chinese",700,Cafes,Whitefield
Box8,Yes,Yes,3.0/5,4799,Electronic City,"Pub, Bar","Seafood, Continental",600,Desserts,Jayanagar
Spice Garden,Yes,No,3.6/5,7334,MG Road,Bar,"South Indian, North Indian",2000,Buffet,BTM Layout
Brahmin Coffee Bar,Yes,,4.0/5,6563,MG Road,Casual Dining,Street Food,2500,Delivery,BTM Layout
Haveli,No,No,3.5/5,939,Banashankari,Food Court,"Sandwich, Fast Food","2,500",Drinks & nightlife,Indiranagar
House McDonald's,Yes,No,4.4/5,526,Indiranagar,Beverage Shop,Biryani,800,Cafes,JP Nagar
Biryani Punjabi Tadka,Yes,Yes,4.8/5,1868,Marathahalli,Casual Dining,"Bakery, Cafe",,Dine-out,Banashankari
Kamat Upachar,Yes,Yes,4.8/5,3385,Electronic City,Food Court,South Indian,,Drinks & nightlife,Indiranagar
The The Burger Lab,No,No,3.8/5,3623,Church Street,,"Cafe, Beverages",,Cafes,Banashankari
Shivaji Military Hotel,No,No,4.2/5,7885,RT Nagar,Fine Dining,"Pizza, Fast Food",350,Cafes,JP Nagar
Cafe Coffee Day,Yes,,4.9/5,3814,Frazer Town,Beverage Shop,"Sandwich, Fast Food",,Dine-out,Koramangala
The Burger Lab,No,No,4.1/5,5872,JP Nagar  ,Food Court,"Italian, Pizza",1200,Desserts,BTM Layout
Corner Punjabi Tadka,Yes,No,4.5/5,6369,HSR Layout  ,Bakery,Chinese,200,Dine-out,Jayanagar
Dhaba Vidyarthi Bhavan,No,No,3.1/5,1655,Yelahanka,"Pub, Bar",North Indian,150,Lunch,Koramangala
Freshmenu,Yes,No,3.4/5,2340,JP Nagar,Cafe,Chinese,"2,500",Dine-out,Jayanagar
House Haveli,Yes,,3.0/5,4917,Domlur,Cafe,"Mughlai, North Indian",,Dine-out,Jayanagar
McDonald's,Yes,Yes,3.0/5,4555,Rajajinagar  ,Sweet Shop,Fast Food,900,Dine-out,Marathahalli
Donne Biryani,Yes,Yes,3.5/5,7827,Majestic,"Casual Dining, Cafe","North Indian, Chinese","1,500",Buffet,Whitefield
Empire Restaurant,Yes,No,3.8/5,3191,Domlur,"Casual Dining, Cafe",Chinese,1000,Lunch,Jayanagar
Chai Point,No,No,2.6/5,374,Bellandur,"Pub, Bar",North Indian,200,Drinks & nightlife,HSR Layout
Chai Point,No,No,3.4/5,1016,Sarjapur Road,Quick Bites,"Biryani, North Indian",,Cafes,Whitefield
Cafe Freshmenu,No,No,4.8/5,4839,Malleshwaram,Food Court,,600,Dine-out,JP Nagar
Donne Biryani,No,Yes,3.3/5,1014,Frazer Town  ,Desserts,"North Indian, Chinese",1000,Drinks & nightlife,Banashankari
Udupi Palace,No,No,2.7/5,207,Koramangala,Food Court,"Italian, Pizza",150,Delivery,BTM Layout
Spice Garden,No,Yes,3.2/5,792,Richmond Town,,Street Food,900,Cafes,Jayanagar
Starbucks,Yes,Yes,3.4/5,5656,Electronic City  ,Bakery,South Indian,900,Lunch,Jayanagar
Restaurant McDonald's,Yes,Yes,4.0/5,3496,Yelahanka,Delivery,"Bakery, Cafe",300,Desserts,Koramangala
Biryani Zone,Yes,Yes,4.6/5,6072,Hebbal,Beverage Shop,"Continental, North Indian",500,Desserts,JP Nagar
Vidyarthi Bhavan,Yes,Yes,NEW,6892,MG Road,"Casual Dining, Cafe",Chinese,,Dine-out,Koramangala
Corner Dominos,No,Yes,2.9/5,4867,Banashankari  ,Fine Dining,"Desserts, Bakery",200,Lunch,JP Nagar
Palace Brahmin Coffee Bar,Yes,No,3.2/5,3610,JP Nagar,Bakery,South Indian,450,Buffet,Whitefield
Belgian Waffle,No,No,4.9/5,1925,Bellandur  ,Mess,North Indian,500,Drinks & nightlife,Indiranagar
Restaurant Biryani Zone,No,No,4.5/5,27,Frazer Town  ,Food Court,Biryani,"1,500",Cafes,Jayanagar
Toit Brewpub,No,No,3.3/5,6762,Bellandur  ,Mess,"Biryani, North Indian",350,Lunch,Electronic City
Cafe Coffee Day,Yes,No,3.7/5,7971,Majestic,Beverage Shop,"Biryani, North Indian",300,Dine-out,BTM Layout
India Gate,Yes,Yes,2.8/5,5724,Sarjapur Road,Bar,,1000,Buffet,Electronic City
Dragon Palace,No,No,3.1/5,6367,BTM Layout,Quick Bites,"Pizza, Fast Food",350,Drinks & nightlife,HSR Layout
The Chinese Hut,No,No,4.7/5,1577,Basavanagudi,,"North Indian, Chinese",800,Drinks & nightlife,Whitefield
Faasos,No,No,2.8/5,5158,Marathahalli,Casual Dining,,700,Cafes,Banashankari
Restaurant Starbucks,No,No,4.7/5,7284,Basavanagudi,Sweet Shop,"South Indian, North Indian",600,Delivery,Jayanagar
Punjabi Tadka,Yes,,4.8/5,7057,Banashankari,Sweet Shop,"Mughlai, North Indian",1000,Cafes,Indiranagar
Dhaba Srinidhi,Yes,No,3.7/5,5150,Sarjapur Road,Bar,"South Indian, North Indian",250,Dine-out,Electronic City
The Faasos,No,Yes,4.0/5,6446,Jayanagar,Fine Dining,"Continental, North Indian",250,Cafes,Whitefield
Corner House,Yes,Yes,4.9/5,306,Church Street  ,Desserts,"Cafe, Beverages",1000,Delivery,Whitefield
Meghana Foods,No,No,3.5/5,6924,Sarjapur Road  ,Fine Dining,"North Indian, Chinese",200,Cafes,BTM Layout
Freshmenu,No,No,4.7/5,1708,Koramangala,Beverage Shop,Chinese,600,Delivery,Indiranagar
Koshy's,No,Yes,3.2/5,2545,Frazer Town,"Casual Dining, Cafe",Street Food,800,Buffet,Koramangala
India Gate,No,No,NEW,6105,JP Nagar,Food Court,Fast Food,800,Buffet,Whitefield
Shivaji Military Hotel,No,Yes,4.4/5,634,Hebbal,Fine Dining,South Indian,1500,Cafes,Whitefield
Barbeque Nation,No,Yes,-,4676,Sarjapur Road,"Casual Dining, Cafe","South Indian, North Indian",800,Buffet,Jayanagar
Corner McDonald's,No,Yes,4.6/5,3155,BTM Layout,Cafe,Street Food,,Dine-out,Whitefield
Kitchen Chinese Hut,Yes,No,3.6/5,4540,Rajajinagar,Food Court,"South Indian, North Indian",300,Dine-out,Koramangala
MTR,Yes,Yes,2.5/5,4153,BTM Layout  ,Fine Dining,"Ice Cream, Desserts",500,Buffet,Banashankari
Vidyarthi Bhavan,Yes,Yes,4.2/5,7090,Domlur  ,Casual Dining,"Cafe, Beverages",600,Buffet,HSR Layout
Toit Brewpub,No,No,3.7/5,3741,Indiranagar,Bar,North Indian,500,Desserts,BTM Layout
Hotel Wrap It Up,No,,2.8/5,4448,Rajajinagar,Mess,"Mughlai, North Indian",500,Drinks & nightlife,Banashankari
Box8,No,No,2.6/5,795,Hebbal,Sweet Shop,"South Indian, Chinese",700,Dine-out,Koramangala
Udupi Palace,Yes,No,4.2/5,3923,Banashankari,Cafe,South Indian,250,Drinks & nightlife,Marathahalli
Corner Barbeque Nation,Yes,Yes,4.7/5,2844,Hebbal,Sweet Shop,"Biryani, North Indian",300,Drinks & nightlife,Indiranagar
Donne Biryani,Yes,Yes,4.4/5,7446,Whitefield,Beverage Shop,Street Food,600,Desserts,JP Nagar
Vidyarthi Bhavan,Yes,,NEW,3972,Hebbal,Quick Bites,"South Indian, Chinese",200,Dine-out,BTM Layout
Eat Street,Yes,Yes,3.4/5,1133,Basavanagudi,Food Court,"Bakery, Cafe",1200,Lunch,Electronic City
The Tasty Bites,No,No,2.7/5,7271,HSR Layout,"Casual Dining, Cafe","Ice Cream, Desserts",200,Desserts,JP Nagar
Brahmin Coffee Bar,No,No,3.6/5,4850,Electronic City,Quick Bites,Chinese,800,Cafes,Indiranagar
Satkar,No,No,2.8/5,2381,BTM Layout,"Casual Dining, Cafe",Fast Food,900,Dine-out,Electronic City
Barbeque Nation,No,No,4.8/5,3179,Domlur,,"Desserts, Bakery",2500,Drinks & nightlife,Indiranagar
Corner Wrap It Up,Yes,No,NEW,1895,Church Street,Mess,Chinese,250,Buffet,Whitefield
Beijing Bites,Yes,Yes,2.9/5,6748,HSR Layout,Quick Bites,Biryani,250,Lunch,JP Nagar
Box8,Yes,Yes,3.0/5,4799,Electronic City,"Pub, Bar","Seafood, Continental",600,Desserts,Jayanagar
Starbucks,Yes,Yes,2.6/5,4833,Whitefield  ,Food Court,Street Food,400,Desserts,Koramangala
Dominos,No,Yes,NEW,5105,Domlur,Bar,"Sandwich, Fast Food",2000,Desserts,Koramangala
